,Cesio,count
0,351,1
1,352,0
2,353,0
3,354,0
4,355,0
5,356,0
6,357,0
7,358,0
8,359,0
9,360,0
10,361,0
11,362,0
12,363,0
13,364,0
14,365,0
15,366,0
16,367,0
17,368,0
18,369,0
19,370,0
20,371,0
21,372,0
22,373,0
23,374,0
24,375,0
25,376,0
26,377,0
27,378,0
28,379,0
29,380,0
30,381,0
31,382,0
32,383,0
33,384,0
34,385,0
35,386,0
36,387,0
37,388,0
38,389,0
39,390,0
40,391,0
41,392,1
42,393,1
43,394,0
44,395,0
45,396,1
46,397,0
47,398,0
48,399,1
49,400,0
50,401,1
51,402,1
52,403,0
53,404,2
54,405,2
55,406,1
56,407,0
57,408,2
58,409,0
59,410,3
60,411,1
61,412,2
62,413,0
63,414,1
64,415,3
65,416,4
66,417,3
67,418,0
68,419,1
69,420,1
70,421,3
71,422,0
72,423,4
73,424,2
74,425,3
75,426,8
76,427,3
77,428,2
78,429,2
79,430,6
80,431,2
81,432,9
82,433,3
83,434,9
84,435,3
85,436,4
86,437,8
87,438,3
88,439,4
89,440,8
90,441,5
91,442,4
92,443,2
93,444,6
94,445,4
95,446,5
96,447,3
97,448,6
98,449,4
99,450,4
100,451,6
101,452,8
102,453,5
103,454,5
104,455,5
105,456,5
106,457,4
107,458,0
108,459,2
109,460,2
110,461,3
111,462,3
112,463,2
113,464,2
114,465,4
115,466,3
116,467,6
117,468,2
118,469,1
119,470,4
120,471,2
121,472,0
122,473,4
123,474,1
124,475,0
125,476,1
126,477,2
127,478,1
128,479,0
129,480,0
130,481,1
131,482,0
132,483,1
133,484,1
134,485,1
135,486,0
136,487,0
137,488,0
138,489,0
139,490,1
140,491,0
141,492,0
142,493,0
143,494,1
144,495,0
145,496,1
