,fecha,inicio,toma,resultados
0,2020-03-13,6.0,1.0,1.0
1,2020-03-14,4.0,1.0,0.0
2,2020-03-15,3.0,6.0,6.0
3,2020-03-16,2.0,0.0,0.0
4,2020-03-17,3.0,3.0,1.0
5,2020-03-18,5.0,3.0,3.0
6,2020-03-19,6.0,6.0,4.0
7,2020-03-20,3.0,3.0,5.0
8,2020-03-21,1.0,2.0,1.0
9,2020-03-22,1.0,2.0,3.0
10,2020-03-23,0.0,0.0,0.0
11,2020-03-24,1.0,4.0,3.0
12,2020-03-25,1.0,1.0,4.0
13,2020-03-26,4.0,4.0,0.0
14,2020-03-27,5.0,4.0,6.0
15,2020-03-28,3.0,3.0,3.0
16,2020-03-29,1.0,1.0,3.0
17,2020-03-30,5.0,4.0,3.0
18,2020-03-31,7.0,5.0,6.0
19,2020-04-01,4.0,6.0,2.0
20,2020-04-02,9.0,6.0,6.0
21,2020-04-03,6.0,9.0,9.0
22,2020-04-04,8.0,9.0,2.0
23,2020-04-05,9.0,7.0,10.0
24,2020-04-06,8.0,5.0,5.0
25,2020-04-07,12.0,11.0,7.0
26,2020-04-08,34.0,38.0,40.0
27,2020-04-09,10.0,16.0,10.0
28,2020-04-10,14.0,15.0,6.0
29,2020-04-11,5.0,4.0,19.0
30,2020-04-12,10.0,10.0,9.0
31,2020-04-13,18.0,19.0,4.0
32,2020-04-14,73.0,73.0,8.0
33,2020-04-15,11.0,10.0,74.0
34,2020-04-16,18.0,21.0,19.0
35,2020-04-17,13.0,14.0,7.0
36,2020-04-18,18.0,10.0,3.0
37,2020-04-19,6.0,3.0,18.0
38,2020-04-20,40.0,37.0,13.0
39,2020-04-21,72.0,73.0,66.0
40,2020-04-22,20.0,30.0,41.0
41,2020-04-23,47.0,53.0,43.0
42,2020-04-24,62.0,68.0,12.0
43,2020-04-25,19.0,20.0,67.0
44,2020-04-26,26.0,14.0,17.0
45,2020-04-27,33.0,31.0,26.0
46,2020-04-28,44.0,34.0,21.0
47,2020-04-29,35.0,32.0,34.0
48,2020-04-30,48.0,53.0,31.0
49,2020-05-01,45.0,23.0,34.0
50,2020-05-02,32.0,21.0,6.0
51,2020-05-03,43.0,27.0,10.0
52,2020-05-04,73.0,50.0,38.0
53,2020-05-05,82.0,53.0,20.0
54,2020-05-06,71.0,73.0,42.0
55,2020-05-07,58.0,58.0,57.0
56,2020-05-08,113.0,109.0,28.0
57,2020-05-09,76.0,94.0,143.0
58,2020-05-10,83.0,51.0,49.0
59,2020-05-11,97.0,116.0,64.0
60,2020-05-12,116.0,132.0,79.0
61,2020-05-13,125.0,189.0,139.0
62,2020-05-14,108.0,179.0,175.0
63,2020-05-15,135.0,143.0,158.0
64,2020-05-16,95.0,117.0,106.0
65,2020-05-17,162.0,201.0,88.0
66,2020-05-18,228.0,303.0,155.0
67,2020-05-19,226.0,263.0,246.0
68,2020-05-20,348.0,487.0,211.0

69,2020-05-21,366.0,621.0,299.0
70,2020-05-22,400.0,545.0,426.0
71,2020-05-23,164.0,258.0,269.0
72,2020-05-24,170.0,219.0,339.0
73,2020-05-25,475.0,640.0,302.0
74,2020-05-26,448.0,592.0,259.0
75,2020-05-27,299.0,425.0,306.0
76,2020-05-28,378.0,443.0,269.0
77,2020-05-29,372.0,411.0,211.0
78,2020-05-30,173.0,208.0,299.0
79,2020-05-31,122.0,126.0,198.0
80,2020-06-01,302.0,407.0,280.0

81,2020-06-02,282.0,380.0,179.0
82,2020-06-03,317.0,470.0,265.0
83,2020-06-04,374.0,462.0,411.0
84,2020-06-05,474.0,633.0,397.0
85,2020-06-06,414.0,553.0,286.0
86,2020-06-07,292.0,340.0,318.0
87,2020-06-08,435.0,598.0,343.0
88,2020-06-09,436.0,726.0,364.0
89,2020-06-10,564.0,774.0,431.0
90,2020-06-11,410.0,792.0,218.0
91,2020-06-12,462.0,730.0,414.0
92,2020-06-13,404.0,529.0,96.0
93,2020-06-14,360.0,470.0,303.0
94,2020-06-15,725.0,1019.0,555.0
95,2020-06-16,545.0,948.0,718.0
96,2020-06-17,509.0,880.0,551.0
97,2020-06-18,482.0,765.0,814.0
98,2020-06-19,545.0,909.0,486.0
99,2020-06-20,681.0,780.0,256.0
100,2020-06-21,357.0,353.0,418.0
101,2020-06-22,787.0,1178.0,780.0
102,2020-06-23,719.0,1211.0,778.0
103,2020-06-24,648.0,1190.0,351.0
104,2020-06-25,673.0,1409.0,1037.0
105,2020-06-26,777.0,1368.0,671.0
106,2020-06-27,676.0,915.0,572.0
107,2020-06-28,513.0,402.0,466.0
108,2020-06-29,670.0,1015.0,734.0
109,2020-06-30,821.0,1733.0,984.0
110,2020-07-01,793.0,1408.0,1138.0
111,2020-07-02,694.0,1412.0,1299.0
112,2020-07-03,700.0,1331.0,1330.0
113,2020-07-04,581.0,905.0,790.0
114,2020-07-05,506.0,389.0,700.0
115,2020-07-06,729.0,1305.0,901.0
116,2020-07-07,654.0,1293.0,674.0
117,2020-07-08,611.0,1343.0,1236.0
118,2020-07-09,576.0,1171.0,1003.0
119,2020-07-10,794.0,1070.0,1008.0
120,2020-07-11,608.0,770.0,806.0
121,2020-07-12,471.0,490.0,408.0
122,2020-07-13,700.0,1227.0,1220.0
123,2020-07-14,604.0,1156.0,1261.0
124,2020-07-15,616.0,1125.0,939.0
125,2020-07-16,596.0,1173.0,1021.0
126,2020-07-17,591.0,1038.0,1191.0
127,2020-07-18,618.0,695.0,666.0
128,2020-07-19,484.0,384.0,340.0
129,2020-07-20,804.0,1264.0,1296.0
130,2020-07-21,531.0,1076.0,1131.0
131,2020-07-22,504.0,1127.0,1073.0
132,2020-07-23,486.0,1048.0,1019.0
133,2020-07-24,527.0,1072.0,1272.0
134,2020-07-25,440.0,618.0,638.0
135,2020-07-26,379.0,315.0,261.0
136,2020-07-27,542.0,1264.0,1209.0
137,2020-07-28,512.0,1131.0,1179.0
138,2020-07-29,409.0,912.0,1271.0
139,2020-07-30,479.0,877.0,1000.0
140,2020-07-31,474.0,885.0,1163.0
141,2020-08-01,649.0,588.0,358.0
142,2020-08-02,375.0,411.0,227.0
143,2020-08-03,486.0,1129.0,788.0
144,2020-08-04,383.0,886.0,1143.0
145,2020-08-05,403.0,966.0,824.0
146,2020-08-06,379.0,768.0,943.0
147,2020-08-07,380.0,719.0,903.0
148,2020-08-08,400.0,533.0,420.0
149,2020-08-09,317.0,301.0,389.0
150,2020-08-10,560.0,859.0,996.0
151,2020-08-11,372.0,804.0,1151.0
152,2020-08-12,366.0,746.0,1233.0
153,2020-08-13,340.0,752.0,1144.0
154,2020-08-14,423.0,686.0,903.0
155,2020-08-15,401.0,475.0,337.0
156,2020-08-16,351.0,392.0,310.0
157,2020-08-17,449.0,909.0,909.0
158,2020-08-18,357.0,773.0,1043.0
159,2020-08-19,325.0,729.0,1124.0
160,2020-08-20,484.0,798.0,1052.0
161,2020-08-21,384.0,730.0,943.0
162,2020-08-22,378.0,413.0,331.0
163,2020-08-23,325.0,309.0,342.0
164,2020-08-24,359.0,844.0,1152.0
165,2020-08-25,369.0,754.0,1082.0
