Object Designation,Date (yyyy-mm-dd.dd),Impact Probability,Impact Energy (Mt),Palermo Scale,Torino Scale,Number,Mass (kg),Diameter (km),Absolute magnitude (H)
101955 Bennu (1999 RQ36),2182-09-24.85,0.00037,1421,-1.59,,a0101955,74000000000,0.49,20.6
29075 (1950 DA),2880-03-16.99,0.000029,75190,-2.05,,a0029075,2000000000000,1.3,17.9
101955 Bennu (1999 RQ36),2187-09-25.06,0.000071,1422,-2.32,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2192-09-24.31,0.000039,1422,-2.59,,a0101955,74000000000,0.49,20.6
(2007 FT3),2024-10-03.05,0.000000087,2739,-2.79,0,bK07F03T,54000000000,0.341,20
101955 Bennu (1999 RQ36),2193-09-24.59,0.000016,1421,-2.98,,a0101955,74000000000,0.49,20.6
(1979 XB),2056-12-12.90,0.00000019,41990,-3.01,0,bJ79X00B,390000000000,0.66,18.5
101955 Bennu (1999 RQ36),2187-09-24.99,0.000014,1422,-3.03,,a0101955,74000000000,0.49,20.6
(1979 XB),2113-12-14.75,0.00000055,30260,-3.1,0,bJ79X00B,390000000000,0.66,18.5
101955 Bennu (1999 RQ36),2194-09-24.78,0.000012,1420,-3.11,,a0101955,74000000000,0.49,20.6
(2022 PX1),2040-08-11.66,0.0000032,361.7,-3.15,0,bK22P01X,2200000000,0.12,22.3
(2015 JJ),2111-11-07.26,0.000021,82.13,-3.56,0,bK15J00J,2900000000,0.13,22.1
101955 Bennu (1999 RQ36),2193-09-24.51,0.0000038,1421,-3.61,,a0101955,74000000000,0.49,20.6
(2007 FT3),2030-10-03.46,0.000000096,2604,-3.61,0,bK07F03T,54000000000,0.341,20
101955 Bennu (1999 RQ36),2192-09-24.18,0.0000032,1422,-3.68,,a0101955,74000000000,0.49,20.6
(2016 YM4),2121-07-20.81,0.000013,114.7,-3.69,0,bK16Y04M,2000000000,0.11,22.4
(1979 XB),2086-12-16.66,0.00000011,25840,-3.72,0,bJ79X00B,390000000000,0.66,18.5
101955 Bennu (1999 RQ36),2197-09-24.41,0.0000027,1421,-3.76,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2190-09-24.78,0.0000025,1422,-3.78,,a0101955,74000000000,0.49,20.6
(2012 QD8),2047-03-08.97,0.0000049,47.43,-3.81,0,bK12Q08D,720000000,0.081,23.1
101955 Bennu (1999 RQ36),2184-09-24.30,0.000002,1422,-3.86,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2191-09-25.02,0.0000016,1421,-3.98,,a0101955,74000000000,0.49,20.6
(2007 FT3),2035-10-03.80,0.000000068,2704,-3.98,0,bK07F03T,54000000000,0.341,20
101955 Bennu (1999 RQ36),2197-09-24.44,0.0000016,1421,-3.99,,a0101955,74000000000,0.49,20.6
(2007 FT3),2041-10-03.24,0.000000095,2616,-4.02,0,bK07F03T,54000000000,0.341,20
(2008 EX5),2072-10-09.02,0.000027,7.169,-4.06,0,bK08E05X,270000000,0.059,23.8
101955 Bennu (1999 RQ36),2210-09-25.69,0.0000014,1422,-4.08,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2210-09-25.74,0.0000013,1422,-4.11,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2185-09-24.47,0.0000011,1421,-4.12,,a0101955,74000000000,0.49,20.6
(2020 FA5),2110-10-29.27,0.00000061,1216,-4.17,0,bK20F05A,12000000000,0.21,21.1
(2023 TB2),2119-09-02.12,0.000051,5.289,-4.18,0,bK23T02B,260000000,0.058,23.8
101955 Bennu (1999 RQ36),2203-09-26.03,0.000001,1423,-4.21,,a0101955,74000000000,0.49,20.6
(2007 FT3),2046-10-03.55,0.000000075,2691,-4.22,0,bK07F03T,54000000000,0.341,20
101955 Bennu (1999 RQ36),2179-09-25.05,0.0000008,1421,-4.25,,a0101955,74000000000,0.49,20.6
(2008 UB7),2063-11-01.40,0.0000078,14.51,-4.26,0,bK08U07B,260000000,0.058,23.8
(2006 CM10),2092-08-12.48,0.000001,351.3,-4.27,0,bK06C10M,4700000000,0.15,21.7
(2008 EX5),2083-10-09.71,0.00002,7.165,-4.27,0,bK08E05X,270000000,0.059,23.8
101955 Bennu (1999 RQ36),2187-09-24.96,0.0000008,1423,-4.27,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2192-09-24.18,0.0000008,1422,-4.28,,a0101955,74000000000,0.49,20.6
(2020 OB),2116-07-23.40,0.0000098,29.81,-4.28,0,bK20O00B,330000000,0.062,23.7
101955 Bennu (1999 RQ36),2187-09-24.97,0.0000007,1421,-4.32,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2213-09-25.26,0.0000008,1421,-4.33,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2189-09-24.50,0.0000007,1422,-4.33,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2181-09-24.50,0.0000006,1422,-4.38,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2191-09-24.94,0.0000006,1421,-4.4,,a0101955,74000000000,0.49,20.6
(2008 UB7),2063-11-01.41,0.0000056,14.51,-4.4,0,bK08U07B,260000000,0.058,23.8
101955 Bennu (1999 RQ36),2195-09-24.99,0.0000006,1423,-4.41,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2199-09-25.03,0.0000006,1419,-4.42,,a0101955,74000000000,0.49,20.6
(2020 OB),2116-07-23.40,0.0000067,29.81,-4.44,0,bK20O00B,330000000,0.062,23.7
101955 Bennu (1999 RQ36),2185-09-24.55,0.0000005,1420,-4.47,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2196-09-24.21,0.0000005,1421,-4.49,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2195-09-24.92,0.0000005,1422,-4.49,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2193-09-24.48,0.0000005,1421,-4.49,,a0101955,74000000000,0.49,20.6
(2012 QD8),2050-03-08.68,0.0000011,47.78,-4.51,0,bK12Q08D,720000000,0.081,23.1
101955 Bennu (1999 RQ36),2208-09-25.25,0.0000005,1422,-4.52,,a0101955,74000000000,0.49,20.6
(2008 UB7),2059-11-01.62,0.0000037,14.66,-4.53,0,bK08U07B,260000000,0.058,23.8
101955 Bennu (1999 RQ36),2178-09-24.69,0.0000004,1422,-4.54,,a0101955,74000000000,0.49,20.6
(2007 FT3),2040-10-03.10,0.000000026,2768,-4.54,0,bK07F03T,54000000000,0.341,20
(2022 KM4),2075-01-13.93,0.00000014,1256,-4.57,0,bK22K04M,14000000000,0.22,21
101955 Bennu (1999 RQ36),2195-09-24.97,0.0000004,1422,-4.59,,a0101955,74000000000,0.49,20.6
(2008 UB7),2060-10-31.80,0.0000034,14.15,-4.59,0,bK08U07B,260000000,0.058,23.8
101955 Bennu (1999 RQ36),2198-09-24.70,0.0000004,1421,-4.6,,a0101955,74000000000,0.49,20.6
(2007 FT3),2073-10-03.35,0.000000068,2703,-4.6,0,bK07F03T,54000000000,0.341,20
(2008 UB7),2060-10-31.77,0.000003,14.17,-4.64,0,bK08U07B,260000000,0.058,23.8
(2017 FO63),2097-11-13.77,0.0000021,53.36,-4.65,0,bK17F63O,460000000,0.07,23.4
(2007 FT3),2025-10-03.08,0.0000000026,2453,-4.65,0,bK07F03T,54000000000,0.341,20
101955 Bennu (1999 RQ36),2187-09-24.97,0.0000003,1422,-4.69,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2186-09-24.67,0.0000003,1421,-4.69,,a0101955,74000000000,0.49,20.6
(2007 FT3),2056-10-03.14,0.000000035,2773,-4.69,0,bK07F03T,54000000000,0.341,20
101955 Bennu (1999 RQ36),2185-09-24.51,0.0000003,1421,-4.69,,a0101955,74000000000,0.49,20.6
