#Day Of Year:,130
#Event Date:,05/09/2024 23:42:09
#Original NetCDF file:,GLM-L2-LCFAG18s20241302342000e20241302342200c20241302342212.nc
#Platform:,G18
#Satellite (lat/lon/height):,0.0 / -137.000000 / 35786.02km
#Event Info:,
#Description:,
#Date Archived:,05/15/2024 19:40:49
#URL:,https://neo-bolide.ndc.nasa.gov
 
time (ms),longitude,latitude,energy (joules)
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07847595214844,55.62188720703125,6.384417666305091e-15
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07630920410156,55.621822357177734,6.88435768759826e-15
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07847595214844,55.62188720703125,6.384417666305091e-15
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07611083984375,55.62181091308594,8.584153759995036e-15
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07846069335938,55.621883392333984,9.684021806840009e-15
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07835388183594,55.62187957763672,1.048392584090908e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07826232910156,55.62187194824219,1.40834939942199e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07815551757812,55.62186813354492,1.40834939942199e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07806396484375,55.62186050415039,1.6483205249394166e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07797241210938,55.621856689453125,1.7583074143272086e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07786560058594,55.621849060058594,1.7783050151789354e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07777404785156,55.62184524536133,2.258247435620378e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07766723632812,55.6218376159668,2.258247435620378e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07757568359375,55.62183380126953,2.2782450364721048e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.0774688720703,55.621826171875,2.148260546232586e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07737731933594,55.62181854248047,2.1882557479360396e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.0772705078125,55.6218147277832,2.1282629453808592e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07717895507812,55.62180709838867,2.1882557479360396e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.0770721435547,55.621803283691406,2.2782450364721048e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.0769805908203,55.621795654296875,1.9482845377153182e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07688903808594,55.62179183959961,1.818300216882389e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.0767822265625,55.62178421020508,1.8482965334566843e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07669067382812,55.62178039550781,1.6483205249394166e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.0765838623047,55.62177276611328,1.6283229240876898e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.0764923095703,55.621768951416016,1.5883277223842363e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07638549804688,55.621761322021484,1.3283589960150829e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.0762939453125,55.62175750732422,1.278364993885766e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07618713378906,55.62174987792969,1.2983625947374927e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.0760955810547,55.62174606323242,1.2583673930340392e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07598876953125,55.621734619140625,1.0883877857943616e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07830810546875,55.621681213378906,1.0583913845167714e-14
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07830810546875,55.621681213378906,9.084093781288206e-15
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07830810546875,55.621681213378906,8.68414176425367e-15
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07830810546875,55.621681213378906,7.38429770889143e-15
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07830810546875,55.621681213378906,6.284429662046457e-15
Thu May 09 2024 16:42:09 GMT-0700 (Pacific Daylight Time),-156.07830810546875,55.621681213378906,5.184561615201484e-15
