
# Curve 0 of 1, 33 points
# Curve title: "'fireballs.dat' using (bin($1,binwidth)):(1.0)"
# x y xlow xhigh type
-2.8  32 -2.8 -2.8  i
-2.6  106 -2.6 -2.6  i
-2.4  136 -2.4 -2.4  i
-2.2  76 -2.2 -2.2  i
-2  84 -2 -2  i
-1.8  68 -1.8 -1.8  i
-1.6  71 -1.6 -1.6  i
-1.4  61 -1.4 -1.4  i
-1.2  47 -1.2 -1.2  i
-1  72 -1 -1  i
-0.8  38 -0.8 -0.8  i
-0.6  35 -0.6 -0.6  i
-0.4  26 -0.4 -0.4  i
-0.2  17 -0.2 -0.2  i
 0  20  0  0  i
 0.2  13  0.2  0.2  i
 0.4  15  0.4  0.4  i
 0.6  6  0.6  0.6  i
 0.8  7  0.8  0.8  i
 1  8  1  1  i
 1.2  7  1.2  1.2  i
 1.4  3  1.4  1.4  i
 1.6  4  1.6  1.6  i
 1.8  6  1.8  1.8  i
 2  3  2  2  i
 2.2  3  2.2  2.2  i
 2.4  2  2.4  2.4  i
 2.6  3  2.6  2.6  i
 2.8  2  2.8  2.8  i
 3.4  3  3.4  3.4  i
 3.8  1  3.8  3.8  i
 6  1  6  6  i


